venue_id,venue_name,acronym,venue_type,field,publisher,society,official_homepage_url,official_cfp_url,proceedings_url,template_url,submission_system_url,typical_submission_types,typical_page_limit,priority_scope,primary_relevance,secondary_relevance,domain_fit_notes,notes,source_id,last_checked_at,verification_status
V011,HCI International,HCII,conference,HCI,Springer,other,https://www.hci.international/,,,,https://cms.hci.international/,paper proposal; poster; LBW,Springer LNCS,core,HCI,Applied HCI; UX Research,수용률 높은 대형 학회. 산업체 응용 연구 발표 용이.,"HCII 2027 미발표(2026-06-10 기준). 2026 회차: Montreal 2026-07-26~31, 제출 마감.",S018,2026-06-10,verified_official
V012,ACM Conversational User Interfaces,CUI,conference,Conversational UX,ACM,ACM SIGCHI,https://cui.acm.org/2026/,https://cui.acm.org/2026/,,,,full paper; provocation; short paper/WiP; workshop,,core,Conversational UX,AI UX; Chatbot UX,챗봇/상담/음성 등 대화형 UX 연구에 직접 적합.,"CUI 2026(Bremen, 7/21~24) 전 트랙 마감. CUI 2027은 watchlist.",S019,2026-06-10,verified_official
V013,ACM Conference on Recommender Systems,RecSys,conference,Human-AI Interaction,ACM,ACM,https://recsys.acm.org/recsys26/,https://recsys.acm.org/recsys26/call/,,,https://easychair.org/conferences/?conf=recsys2026,full paper; research & practice note; demo; industry; workshop,,core,Recommender/Personalization UX,AI UX; Industry track,"추천/개인화 UX, 금융 추천 서비스 연구에 적합. industry track 보유.","RecSys 2026: Minneapolis, 2026-09-28~10-02. 2026년에는 LBR 대신 R&P Notes(마감됨).",S020,2026-06-10,verified_official
V014,"ACM Conference on Fairness, Accountability, and Transparency",FAccT,conference,Trust/Transparency in AI,ACM,ACM,https://facctconference.org/2026/index.html,https://facctconference.org/2026/cfp.html,,,https://openreview.net/group?id=ACM.org/FAccT/2026/Conference,full paper; CRAFT,,core,"Trust, Transparency, Explainability",Responsible AI; AI UX,"AI 신뢰/투명성/설명가능성, 금융 AI 공정성 연구에 적합.","FAccT 2026(Montréal, 6/25~28) 마감. FAccT 2027은 watchlist.",S022,2026-06-10,verified_official
V015,ACM Conference on Human-AI Complementarity and Alignment (HCOMP/CI),HCOMP,conference,Human-AI Interaction,ACM,ACM,https://www.humancomputation.com/2026/,https://www.humancomputation.com/2026/submit.html,,https://www.acm.org/binaries/content/assets/publications/taps/acm_submission_template.docx,https://easychair.org/conferences/?conf=ci2026andhcomp2026,full paper; talk; workshop; poster; demo,full 6000 words,core,Human-AI Interaction,Crowdsourcing; Collective Intelligence,Human-AI 협업/정렬 연구에 적합. 2026년부터 CI와 통합 개최.,"HCOMP/CI 2026: Alexandria VA 인근, 2026-09-27~30.",S023,2026-06-10,verified_official
V016,ACM UbiComp / ISWC,UbiComp,conference,Ubiquitous Computing,ACM,ACM SIGCHI/SIGMOBILE,https://www.ubicomp.org/ubicomp-iswc-2026/,https://www.ubicomp.org/ubicomp-iswc-2026/posters-demos-2026/,,,https://new.precisionconference.com/,IMWUT paper; poster; demo; workshop,,secondary,Ubiquitous Computing,Mobile UX; Wearable,논문은 IMWUT 저널 경유. 모바일/웨어러블 응용 시 적합.,"UbiComp 2026: Shanghai, 2026-10-13~15. Posters/Demos 마감(6/6).",S025,2026-06-10,verified_official
V017,ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,conference,Accessibility,ACM,ACM SIGACCESS,https://assets26.sigaccess.org/,https://assets26.sigaccess.org/call_for_papers.html,,,https://new.precisionconference.com/submissions,full paper; experience report; poster; demo; SRC,,secondary,Accessibility,Inclusive Design; UX Research,접근성/포용적 디자인 프로젝트(P03 유형)에 적합.,"ASSETS 2026: Porto, 2026-10-25~28.",S026,2026-06-10,verified_official
V018,Hawaii International Conference on System Sciences,HICSS,conference,Information Systems,other,other,https://hicss.hawaii.edu/,https://hicss.hawaii.edu/authors/,,https://www.overleaf.com/latex/templates/hawaii-international-conference-on-system-sciences-hicss-final-formatting-specifications/zbrwyxgpvxyk,https://hicss-submissions.org/,full paper (minitrack),10p incl. refs,secondary,Information Systems,Digital Banking; FinTech; Collaboration Systems,"IS 계열. 디지털 뱅킹, 기술수용, HCI-인접 minitrack 다수.","HICSS-60: Hawaii, 2027-01-05~08(2차 출처). 온라인 발표 불가.",S028,2026-06-10,verified_official
V019,International Conference on Information Systems,ICIS,conference,Information Systems,other,AIS,https://icis2026.aisconferences.org/,https://icis2026.aisconferences.org/submissions/call-for-papers/,,,,completed research; short paper; TREO talk,,secondary,Information Systems,Digital Banking; FinTech; AI adoption,"HCI보다 IS. 금융 UX, 디지털 뱅킹, 기술수용 연구에 적합.","ICIS 2026: Lisbon, 2026년 12월. 본 논문 마감(5/1). TREO는 watchlist.",S030,2026-06-10,verified_official
V020,European Conference on Information Systems,ECIS,conference,Information Systems,other,AIS,,,,,,full paper; short paper,,secondary,Information Systems,Digital Service UX; FinTech,IS 계열 유럽 학회. 통상 11월경 마감(확인 필요).,2027 공식 사이트 미확인 — watchlist로 추적.,,2026-06-10,needs_verification
V021,Pacific Asia Conference on Information Systems,PACIS,conference,Information Systems,other,AIS,,,,,,full paper,,secondary,Information Systems,Digital Banking; FinTech,IS 계열 아시아 학회.,2027 공식 사이트 미확인 — watchlist로 추적.,,2026-06-10,needs_verification
V022,Americas Conference on Information Systems,AMCIS,conference,Information Systems,other,AIS,,,,,,full paper,,secondary,Information Systems,Digital Service UX,IS 계열 미주 학회.,2027 공식 사이트 미확인 — watchlist로 추적.,,2026-06-10,needs_verification
V023,ACM International Conference on Multimodal Interaction,ICMI,conference,Multimodal Interaction,ACM,ACM,https://icmi.acm.org/2026/,https://icmi.acm.org/2026/important-dates/,,,,full paper; LBR; demo,,project_specific_only,Multimodal Interaction,Affective Computing,현재 주 분야와 거리 있음. 멀티모달 프로젝트일 때만 검토.,"ICMI 2026: Naples, 2026-10-05~09.",S031,2026-06-10,verified_official
V024,IEEE International Symposium on Mixed and Augmented Reality,ISMAR,conference,VR/AR/XR,IEEE,IEEE,https://www.ieeeismar.net/2026/,https://www.ieeeismar.net/2026/call-for-posters/,,https://tc.computer.org/vgtc/publications/conference/,https://new.precisionconference.com/ismar26a,full paper; poster; demo,poster 2-4p,project_specific_only,XR,Virtual Humans,XR/immersive 프로젝트일 때만 검토.,"ISMAR 2026: Bari, 2026-10-05~09.",S033,2026-06-10,verified_official
V025,ACM Symposium on Virtual Reality Software and Technology,VRST,conference,VR/AR/XR,ACM,ACM SIGCHI/SIGGRAPH,https://vrst.acm.org/vrst2026/,https://vrst.acm.org/vrst2026/,,,,full paper; short paper,,project_specific_only,XR,,XR 프로젝트일 때만 검토.,"VRST 2026: Sendai, 2026-11-16~18. abstract 마감(6/8) — 신규 제출 사실상 불가.",S035,2026-06-10,verified_official
V026,IEEE VR,IEEE VR,conference,VR/AR/XR,IEEE,IEEE,https://ieeevr.org/2027/,,,,,journal-track (TVCG); conference paper,,project_specific_only,XR,,XR 프로젝트일 때만 검토.,"IEEE VR 2027: Melbourne, 2027-02-27~03-03. CFP 미공개.",S036,2026-06-10,needs_verification
V027,ACM International Conference on Intelligent Virtual Agents,IVA,conference,Virtual Humans,ACM,ACM,,,,,,full paper; short paper,,project_specific_only,Virtual Humans,Embodied Agents,가상인간/에이전트 프로젝트일 때만 검토.,2026/2027 공식 사이트 미확인 — watchlist로 추적.,,2026-06-10,needs_verification
V028,International Conference on Autonomous Agents and Multiagent Systems,AAMAS,conference,Human-AI Interaction,other,IFAAMAS,,,,,,full paper,,project_specific_only,Agents,,기술적 AI/agents 중심 — 예외적으로만 검토.,2027 공식 사이트 미확인.,,2026-06-10,needs_verification
V030,ACM Transactions on Computer-Human Interaction,TOCHI,journal,HCI,ACM,ACM,https://dl.acm.org/journal/tochi,https://dl.acm.org/journal/tochi/author-guidelines,,,,journal article; special issue,,core,HCI,AI UX; Mobile UX,HCI 최상위 저널. 엄밀한 mobile/AI/금융 UX 연구에 적합.,rolling. Special issue Digital Touch in HCI 진행 중. IF는 퍼블리셔 페이지에서 확인 불가 — JCR 확인 필요.,S037,2026-06-10,verified_official
V031,Proceedings of the ACM on Human-Computer Interaction,PACM HCI,journal-style proceedings,HCI,ACM,ACM SIGCHI,https://dl.acm.org/journal/pacmhci,https://dl.acm.org/journal/pacmhci/tracks/cscw,,https://dl.acm.org/journal/pacmhci/submission-templates,,"journal article (track cycles: CSCW, MHCI, GROUP, ISS, ETRA, CHI PLAY)",,core,HCI,Social Computing; Mobile UX,트랙별 연간 사이클 상이 — 트랙별 마감 별도 확인 필요.,CSCW track은 V002와 동일 경로(rolling).,S040,2026-06-10,verified_official
V032,International Journal of Human-Computer Studies,IJHCS,journal,HCI,Elsevier,other,https://www.sciencedirect.com/journal/international-journal-of-human-computer-studies,https://www.sciencedirect.com/journal/international-journal-of-human-computer-studies/publish/guide-for-authors,,,,journal article; special issue,,core,HCI,AI UX; UX Research,실증 HCI 연구 핵심 저널. mobile/AI/금융 UX 사용자 연구에 매우 적합.,rolling. IF 5.1/CiteScore 12.4가 퍼블리셔 페이지에 표시되나 기준연도 라벨 미확인.,S041,2026-06-10,verified_official
V033,International Journal of Human-Computer Interaction,IJHCI,journal,HCI,Taylor & Francis,other,https://www.tandfonline.com/journals/hihc20,https://www.tandfonline.com/journals/hihc20/about-this-journal,,,,journal article,,core,HCI,AI UX; FinTech UX; Chatbot UX,게재량 많고 AI-UX/챗봇/핀테크 수용성 UX 논문 다수 — 실용적 1순위 저널.,rolling. 지표는 JCR/Scopus에서 확인 필요(T&F 페이지 JS 렌더링).,S044,2026-06-10,verified_official
V034,Human-Computer Interaction,HCI Journal,journal,HCI,Taylor & Francis,other,https://www.tandfonline.com/journals/hhci20,https://www.tandfonline.com/journals/hhci20/about-this-journal,,,,journal article,,core,HCI,Theory,이론적 기여가 큰 대형 논문용. 매우 선별적 — 응용 사례 연구에는 부적합.,rolling. 지표 확인 필요.,S045,2026-06-10,verified_official
V035,Behaviour & Information Technology,BIT,journal,UX Research,Taylor & Francis,other,https://www.tandfonline.com/journals/tbit20,https://www.tandfonline.com/journals/tbit20/about-this-journal,,,,journal article,,core,UX Research,Mobile UX; Digital Service UX,"usability/UX, human-centred design — 모바일 뱅킹 UX 연구에 좋은 fit.",rolling. 지표 확인 필요.,S046,2026-06-10,verified_official
V036,Interacting with Computers,IwC,journal,HCI,other,BCS,https://academic.oup.com/iwc,https://academic.oup.com/iwc/pages/General_Instructions,,,http://mc.manuscriptcentral.com/iwc,journal article; special issue,,secondary,HCI,Human-AI Interaction,Oxford/BCS. Human-AI 특집 진행 중. British HCI 우수논문 연계.,rolling.,S047,2026-06-10,verified_official
V037,Personal and Ubiquitous Computing,PUC,journal,Ubiquitous Computing,Springer,other,https://link.springer.com/journal/779,https://link.springer.com/journal/779/submission-guidelines,,,https://submission.springernature.com/new-submission/779/3,journal article,,secondary,Mobile UX,Wearable; Interactive AI,scope에 mobile/wearable + interactive AI 명시 — 모바일 핀테크 UX 적합.,rolling. 퍼블리셔 페이지에 IF 미표시.,S050,2026-06-10,verified_official
V038,Design Studies,Design Studies,journal,Design Research,Elsevier,other,https://www.sciencedirect.com/journal/design-studies,https://www.sciencedirect.com/journal/design-studies/publish/guide-for-authors,,,,journal article,,secondary,Design Research,,디자인 연구 이론 중심.,rolling. IF 4.8/CS 10.5 표시(연도 라벨 미확인).,S052,2026-06-10,verified_official
V039,CoDesign,CoDesign,journal,Design Research,Taylor & Francis,other,https://www.tandfonline.com/journals/ncdn20,https://www.tandfonline.com/journals/ncdn20/about-this-journal,,,,journal article,,secondary,Design Research,Participatory Design,금융 서비스 co-design 연구 시 적합.,rolling. 지표 확인 필요.,S054,2026-06-10,verified_official
V040,The Design Journal,Design Journal,journal,Design Research,Taylor & Francis,other,https://www.tandfonline.com/journals/rfdj20,https://www.tandfonline.com/journals/rfdj20/about-this-journal,,,,journal article,,secondary,Design Research,Service Design,서비스 디자인/디자인 주도 혁신 — 인접 fit.,rolling. 지표 확인 필요.,S055,2026-06-10,verified_official
V041,Information Systems Frontiers,ISF,journal,Information Systems,Springer,other,https://link.springer.com/journal/10796,https://link.springer.com/journal/10796/submission-guidelines,,,https://www.editorialmanager.com/isfi,journal article; special issue,,secondary,Information Systems,AI adoption; FinTech,AI 관련 특집 3건 진행 중 — AI/핀테크-IS 연구에 강한 fit.,rolling.,S056,2026-06-10,verified_official
V042,Information & Management,I&M,journal,Information Systems,Elsevier,other,https://www.sciencedirect.com/journal/information-and-management,,,,,journal article,,secondary,Information Systems,Digital Service UX,IS 상위 저널.,rolling. IF 8.2/CS 17.5 표시(연도 라벨 미확인).,S059,2026-06-10,verified_official
V043,Decision Support Systems,DSS,journal,Information Systems,Elsevier,other,https://www.sciencedirect.com/journal/decision-support-systems,https://www.sciencedirect.com/journal/decision-support-systems/publish/guide-for-authors,,,,journal article,,secondary,Decision Support,Financial Decision Support; AI UX,금융 의사결정 지원 연구에 직접 적합.,rolling. IF 6.8/CS 13.5 표시(연도 라벨 미확인).,S060,2026-06-10,verified_official
V044,Electronic Markets,EM,journal,Information Systems,Springer,other,https://link.springer.com/journal/12525,https://link.springer.com/journal/12525/submission-guidelines,,,https://www.editorialmanager.com/elma,journal article; topical collection,,secondary,Digital Platforms,FinTech; Human-AI commerce,Fintech topical collection 진행 중(2026-08-31 마감) — FinTech UX에 직접 연관.,rolling.,S062,2026-06-10,verified_official
V045,Electronic Commerce Research and Applications,ECRA,journal,Information Systems,Elsevier,other,https://www.sciencedirect.com/journal/electronic-commerce-research-and-applications,https://www.sciencedirect.com/journal/electronic-commerce-research-and-applications/publish/guide-for-authors,,,,journal article,,secondary,E-commerce UX,FinTech,전자상거래/디지털 서비스 UX.,rolling. IF 5.9/CS 10.1 표시(연도 라벨 미확인).,S064,2026-06-10,verified_official
V046,Financial Innovation,FIN,journal,FinTech,Springer,other,https://link.springer.com/journal/40854,https://link.springer.com/journal/40854/submission-guidelines,,,https://www.editorialmanager.com/fini/,journal article; special issue,,secondary,FinTech,AI in Finance,풀 OA. AI×금융 특집 진행 중. 2026년부터 연 110편 APC 면제(SWUFE 후원).,rolling.,S066,2026-06-10,verified_official
V047,International Journal of Bank Marketing,IJBM,journal,FinTech,other,other,https://www.emeraldgrouppublishing.com/journal/ijbm,,,,,journal article,,secondary,Financial Services UX,Mobile Banking,scope에 Mobile and online banking 명시 — 모바일 뱅킹 UX(마케팅 관점) 최고 topical fit.,rolling. Emerald. 지표 확인 필요.,S067,2026-06-10,verified_official
V048,Journal of Financial Services Marketing,JFSM,journal,FinTech,Springer,other,https://link.springer.com/journal/41264,https://link.springer.com/journal/41264/submission-guidelines,,,https://www.editorialmanager.com/fsma/,journal article,,secondary,Financial Services UX,FinTech adoption,"핀테크 신뢰, 오픈파이낸스, 모바일머니 등 — 금융 UX에 강한 fit.",rolling. 1차 결정 중앙값 1일(페이지 명시).,S068,2026-06-10,verified_official
V049,Journal of Retailing and Consumer Services,JRCS,journal,Consumer Research,Elsevier,other,https://www.sciencedirect.com/journal/journal-of-retailing-and-consumer-services,,,,,journal article,,secondary,Consumer-facing AI,Digital Service UX,소비자 대상 AI/디지털 서비스 연구.,rolling. IF 13.1/CS 22.7 표시(연도 라벨 미확인).,S071,2026-06-10,verified_official
V050,Technological Forecasting and Social Change,TFSC,journal,Information Systems,Elsevier,other,https://www.sciencedirect.com/journal/technological-forecasting-and-social-change,,,,,journal article,,secondary,Technology Adoption,Digital Transformation,기술수용/디지털 전환 거시 연구.,rolling. IF 13.3/CS 26.3 표시(연도 라벨 미확인).,S072,2026-06-10,verified_official
V051,Journal of Service Research,JSR,journal,Service Research,SAGE,other,https://journals.sagepub.com/home/jsr,,,,,journal article,,secondary,Service Design,Digital Service UX,서비스 연구 최상위. 디지털 서비스/AI 서비스 경험 연구.,rolling. IF 8.6 표시(연도 라벨 미확인). 슬러그(jsr/jsra) 확인 필요.,S075,2026-06-10,verified_official
V052,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",IMWUT,journal,Ubiquitous Computing,ACM,ACM,https://dl.acm.org/journal/imwut,https://dl.acm.org/journal/imwut/how-to-submit,,,https://new.precisionconference.com/,journal article (연 3회 사이클),,secondary,Mobile UX,Ubiquitous Computing,모바일/센싱 기반 연구 시 적합. 채택 시 UbiComp 발표.,"사이클: 2/1, 5/1, 11/1 (8/1은 major revision 전용).",S076,2026-06-10,verified_official
