opportunity_id,venue_id,year,track_name,submission_type,abstract_deadline,paper_deadline,deadline_time,deadline_timezone,notification_date,camera_ready_deadline,conference_start,conference_end,location_city,location_country,online_hybrid,page_limit,word_limit,format,official_cfp_url,submission_system_url,template_url,deadline_source_url,location_source_url,page_limit_source_url,status,source_id,last_checked_at,verification_status,notes,ai_confidence,change_note
OPP015,V008,2026,OzCHI 2026 Workshops,workshop paper,,2026-07-17,,AoE,2026-08-21,,2026-11-21,2026-11-25,Adelaide,Australia,,,,,https://www.ozchi.org/2026/workshop-proposals,,,https://www.ozchi.org/2026,https://www.ozchi.org/2026,,open,S014,2026-07-06,verified_official,Provocations/DC/Demos/Student Design Challenge는 TBA.,low,Weekly source fetch OK: https://www.ozchi.org/2026/workshop-proposals. Date evidence candidates: none found
OPP016,V010,2026,British HCI 2026 Short Papers,short paper,,2026-07-16,,AoE,2026-08-20,,2026-11-01,2026-11-03,London,United Kingdom,,,,,https://www.britchi.uk/authors/shorts/,,,https://www.britchi.uk/authors/,https://www.britchi.uk/authors/,,open,S017,2026-07-06,verified_official,"ACM DL indexed. 우수논문 IwC 특집 연계. alt.britchi도 7/16, SRC 9/14.",low,Weekly source fetch OK: https://www.britchi.uk/authors/shorts/. Date evidence candidates: none found
OPP017,V010,2026,British HCI 2026 Workshops & Masterclasses,workshop paper,,2026-06-18,,AoE,2026-07-02,,2026-11-01,2026-11-03,London,United Kingdom,,,,,https://www.britchi.uk/authors/workshops/,,,https://www.britchi.uk/authors/,https://www.britchi.uk/authors/,,open,S017,2026-06-15,verified_official,,low,Weekly source fetch OK: https://www.britchi.uk/authors/workshops/. Date evidence candidates: none found
OPP020,V018,2027,HICSS-60 Full Papers (minitracks),full paper,,2026-06-15,23:59,local (HST),2026-08-17,,2027-01-05,2027-01-08,Hawaii,USA,in-person,10p incl. refs,,"HICSS template, APA 7th, anonymous",https://hicss.hawaii.edu/authors/,https://hicss-submissions.org/,https://www.overleaf.com/latex/templates/hawaii-international-conference-on-system-sciences-hicss-final-formatting-specifications/zbrwyxgpvxyk,https://hicss.hawaii.edu/authors/,https://hicss.hawaii.edu/authors/,https://hicss.hawaii.edu/authors/,open,S029,2026-06-15,verified_official,minitrack 선택 필수(https://hicss.hawaii.edu/tracks-and-minitracks/). 온라인 발표 불가. 학회 일자/장소(Big Island)는 2차 출처 — 확인 필요. 저자당 최대 5편.,low,Weekly source fetch failed (url_error:timed out): https://hicss.hawaii.edu/authors/
OPP021,V023,2026,ICMI 2026 Late-Breaking Results,late-breaking work,,2026-06-21,23:59,local (PDT GMT-7),2026-07-15,2026-08-02,2026-10-05,2026-10-09,Naples,Italy,,,,,https://icmi.acm.org/2026/late-breaking-results/,,,https://icmi.acm.org/2026/important-dates/,https://icmi.acm.org/2026/important-dates/,,open,S032,2026-06-15,verified_official,priority_scope=project_specific_only 벤뉴.,low,Weekly source fetch OK: https://icmi.acm.org/2026/late-breaking-results/. Date evidence candidates: none found
OPP022,V023,2026,ICMI 2026 Demos & Exhibits,demo,,2026-06-21,,local (PDT),2026-07-15,,2026-10-05,2026-10-09,Naples,Italy,,,,,https://icmi.acm.org/2026/call-for-demos/,,,https://icmi.acm.org/2026/important-dates/,https://icmi.acm.org/2026/important-dates/,,open,S032,2026-06-15,verified_official,,low,Weekly source fetch OK: https://icmi.acm.org/2026/call-for-demos/. Date evidence candidates: none found
OPP023,V024,2026,ISMAR 2026 Posters,poster,2026-06-25,2026-06-30,23:59:59,AoE,2026-07-30,2026-08-05,2026-10-05,2026-10-09,Bari,Italy,in-person,2-4p incl. refs,,"IEEE VGTC, anonymous",https://www.ieeeismar.net/2026/call-for-posters/,https://new.precisionconference.com/ismar26a,https://tc.computer.org/vgtc/publications/conference/,https://www.ieeeismar.net/2026/call-for-posters/,https://www.ieeeismar.net/2026/call-for-posters/,https://www.ieeeismar.net/2026/call-for-posters/,open,S034,2026-06-29,verified_official,project_specific_only 벤뉴. 2p non-archival 또는 3-4p archival. Demos 트랙 마감 별도 확인 필요.,medium,"Weekly source fetch OK: https://www.ieeeismar.net/2026/call-for-posters/. Date evidence candidates: t Conferences Call for Posters Last updated: 2026-05-28 10:30AM CET Overview 25th IEEE International | ger paper in the future. Important Deadlines June 25, 2026: Title, categories, total pages, 100-word ab | d abstract, and all authors’ information due June 30, 2026: Poster paper submission and optional materi | mission and optional material submission due July 30, 2026: Notification of results August 5, 2026: Cam | n due July 30, 2026: Notification of results August 5, 2026: Camera-ready material and copyright submiss"
OPP027,V030,2026,TOCHI Special Issue: Digital Touch in HCI,special issue,,,,,,,,,,,,,,,https://dl.acm.org/journal/tochi/digitaltouchhci,,,,,,unknown,S039,2026-07-06,needs_verification,needs_verification — 특집 마감일 미확인. CFP 목록: https://dl.acm.org/journal/tochi/calls-for-papers,low,Weekly source fetch failed (http_403): https://dl.acm.org/journal/tochi/digitaltouchhci
OPP031,V036,2026,IwC Special Issue: Hybrid Human-AI Systems (AXAI/SYNERGY),special issue,,,,,,,,,,,,,,,https://academic.oup.com/iwc/pages/call-for-papers-axai-and-synergy,,,,,,unknown,S048,2026-07-06,needs_verification,needs_verification — 특집 마감일 미기록. Human-AI 연구에 직접 적합. 특집 허브: https://academic.oup.com/iwc/pages/special-issues,low,Weekly source fetch failed (http_403): https://academic.oup.com/iwc/pages/call-for-papers-axai-and-synergy
OPP040,V031,2026,PACM HCI Tracks (MHCI/GROUP/ISS/ETRA/CHI PLAY),journal article,,,,,,,,,,,,,,,https://dl.acm.org/journal/pacmhci,,https://dl.acm.org/journal/pacmhci/submission-templates,,,,unknown,S040,2026-07-06,needs_verification,"needs_verification — 트랙별 연간 사이클 상이, 트랙별 마감 별도 확인 필요. CSCW track은 OPP002, MobileHCI LBW는 OPP012 참고.",low,Weekly source fetch failed (http_403): https://dl.acm.org/journal/pacmhci
OPP034,V041,2026,"ISF SI: AI, Affective Computing and Video Analytics",special issue,,2026-08-30,,,,,,,,,,,,,https://link.springer.com/journal/10796,https://www.editorialmanager.com/isfi,,https://link.springer.com/journal/10796,,,open,S056,2026-07-06,verified_official,,low,Weekly source fetch OK: https://link.springer.com/journal/10796. Date evidence candidates: none found
OPP035,V044,2026,EM Topical Collection: Contemporary Research in Fintech,special issue,,2026-08-31,,,,,,,,,,,,,https://link.springer.com/journal/12525,https://www.editorialmanager.com/elma,,https://link.springer.com/journal/12525,,,open,S062,2026-07-06,verified_official,FinTech UX 연구에 직접 연관 — 높은 우선순위 검토 대상.,low,Weekly source fetch OK: https://link.springer.com/journal/12525. Date evidence candidates: none found
